id,cast_id,character,name,credit_id,department,job,name
17402,2,Antonio,Antonio Banderas,52fe47239251416c7508eed5,Writing,Writer,David Frankel
17402,3,Nina Marcus,Mia Farrow,52fe47239251416c7508eecf,Directing,Director,David Frankel
17402,3,Nina Marcus,Mia Farrow,52fe47239251416c7508eed5,Writing,Writer,David Frankel
17402,8,Matt,Gil Bellows,52fe47239251416c7508eecf,Directing,Director,David Frankel
17402,8,Matt,Gil Bellows,52fe47239251416c7508eed5,Writing,Writer,David Frankel
17402,9,Jordan Marcus,Kevin Pollak,52fe47239251416c7508eecf,Directing,Director,David Frankel
17402,9,Jordan Marcus,Kevin Pollak,52fe47239251416c7508eed5,Writing,Writer,David Frankel
17402,10,Leslie Marcus,Carla Gugino,52fe47239251416c7508eecf,Directing,Director,David Frankel
17402,10,Leslie Marcus,Carla Gugino,52fe47239251416c7508eed5,Writing,Writer,David Frankel
41478,3,Judge,Kadeem Hardison,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,3,Judge,Kadeem Hardison,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,3,Judge,Kadeem Hardison,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,4,Tyrone,Bokeem Woodbine,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,4,Tyrone,Bokeem Woodbine,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,4,Tyrone,Bokeem Woodbine,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,5,Bobby Seale,Courtney B. Vance,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,5,Bobby Seale,Courtney B. Vance,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,5,Bobby Seale,Courtney B. Vance,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,6,Dr. Betty Shabazz,Angela Bassett,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,6,Dr. Betty Shabazz,Angela Bassett,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,6,Dr. Betty Shabazz,Angela Bassett,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,7,Huey Newton,Marcus Chong,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,7,Huey Newton,Marcus Chong,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,7,Huey Newton,Marcus Chong,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,8,Rose,Bobby Brown,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,8,Rose,Bobby Brown,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,8,Rose,Bobby Brown,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,9,Rita,Jenifer Lewis,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,9,Rita,Jenifer Lewis,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,9,Rita,Jenifer Lewis,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,10,Pruitt,Roger Guenveur Smith,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,10,Pruitt,Roger Guenveur Smith,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,10,Pruitt,Roger Guenveur Smith,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,11,Yuck Mouth,Chris Rock,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,11,Yuck Mouth,Chris Rock,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,11,Yuck Mouth,Chris Rock,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,13,Alma,Nefertiti,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,13,Alma,Nefertiti,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,13,Alma,Nefertiti,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,14,Dorsett,M. Emmet Walsh,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
41478,14,Dorsett,M. Emmet Walsh,52fe45cdc3a36847f80db229,Writing,Writer,Melvin Van Peebles
41478,14,Dorsett,M. Emmet Walsh,5973a4b4c3a3685e0f002da3,Production,Producer,Robert De Niro
41478,15,Cop at Ramparts,Robert Peters,52fe45cdc3a36847f80db1ff,Directing,Director,Mario Van Peebles
